Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
East Liberty,29,415.0,100.955435713,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,8.0,27.3678643668,0.0,28.2842712474,49.0,56.5773806393,18.0,34.4093010681,42.0,36.6878726556,39.0,47.3286382648,35.0,35.8747822293,50.0,42.9767378939,21.0,33.8969025134,9.0,29.9332590942,49.0,35.8608421541,0.0,28.2842712474,10.0,27.2946881279,20.0,31.2569992162,30.0,35.9722114972,15.0,30.6267856622,10.0,30.4138126515,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,10.0,31.4483703871
Elliott,30,558.0,101.528321172,0.0,17.3205080757,0.0,17.3205080757,64.0,59.7159945073,6.0,16.7630546143,55.0,50.0599640432,72.0,39.4968353163,44.0,29.6310647801,88.0,39.3573373083,77.0,44.7437146424,51.0,36.3868107973,46.0,32.0156211872,29.0,24.4131112315,0.0,17.3205080757,6.0,17.3205080757,7.0,17.9164728672,6.0,16.7630546143,0.0,17.3205080757,0.0,17.3205080757,7.0,14.0712472794,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Esplen,31,113,51,0,10,0,10,0,10,18,22,27,26,3,6,4,6,39,42,22,25,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,86,44,7,13,0,10,11,13,0,10,0,10,12,14,0,10,0,10,46,38,0,10,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fineview,33,237.0,67.2011904656,3.0,11.1803398875,0.0,14.1421356237,0.0,14.1421356237,8.0,14.8660687473,13.0,19.7230829233,23.0,18.3847763109,14.0,18.8679622641,24.0,29.5296461205,9.0,11.7046999107,9.0,17.2046505341,22.0,32.5729949498,14.0,15.0,9.0,9.89949493661,37.0,30.6757233004,9.0,14.1421356237,33.0,29.1204395571,0.0,14.1421356237,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.2065556157
Friendship,34,108.0,61.0573500899,0.0,14.1421356237,0.0,14.1421356237,12.0,21.4709105536,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,40.0,38.5875627631,32.0,36.6196668472,11.0,20.591260282,13.0,25.079872408,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Garfield,35,624.0,106.925207505,33.0,24.1039415863,6.0,19.1049731745,18.0,28.2842712474,23.0,28.8617393793,11.0,21.0950231098,36.0,31.192947921,13.0,21.9317121994,62.0,32.8937684068,62.0,36.0970912956,83.0,49.0204039151,87.0,58.0775343829,48.0,38.4577690461,18.0,28.3725219182,21.0,24.6981780705,24.0,25.7681974535,40.0,29.63106478,0.0,22.360679775,7.0,22.825424421,13.0,22.825424421,5.0,19.0,14.0,26.2488094968,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Glen Hazel,36,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,2059.0,203.501842743,21.0,36.2904946232,0.0,29.9999999999,13.0,35.8329457344,20.0,41.9642705168,0.0,29.9999999999,9.0,31.5594676761,19.0,35.2278299076,64.0,50.2394267484,67.0,55.2268050859,65.0,47.9061582679,160.0,79.0759128938,155.0,77.4209274034,90.0,63.4350061086,309.0,107.96295661,255.0,90.9010450985,391.0,119.841562073,161.0,77.3886296558,159.0,86.8101376567,57.0,53.3385414124,33.0,47.085029468,0.0,29.9999999999,0.0,29.9999999999,11.0,33.5261092286,0.0,29.9999999999
Hays,38,80,26,0,10,0,10,12,13,0,10,0,10,5,7,6,9,26,17,17,14,4,6,5,7,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Hazelwood,39,1051.0,148.583309965,34.0,36.7151195014,18.0,28.9827534924,62.0,48.4458460551,43.0,35.0713558336,97.0,55.3082272362,34.0,36.9459064038,43.0,41.8568990729,65.0,61.5954543777,62.0,48.774993593,117.0,66.0530090155,67.0,37.6031913539,46.0,41.1460812228,62.0,53.4602656185,86.0,65.8938540382,60.0,43.3358973601,43.0,33.6303434416,43.0,36.7831483155,41.0,42.6145515053,12.0,32.9241552663,5.0,25.7681974534,0.0,26.4575131106,0.0,26.4575131106,11.0,30.3973683071,0.0,26.4575131106
Highland Park,40,1499.0,199.273681152,0.0,28.2842712474,7.0,28.6530975637,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,15.0,33.7786915081,13.0,33.7786915081,7.0,29.0516780927,0.0,28.2842712474,17.0,33.3766385365,17.0,34.4093010682,108.0,70.3278038901,31.0,46.7439835701,85.0,62.6258732474,161.0,87.6241975712,199.0,92.1737489744,115.0,57.6714834211,126.0,66.0227233609,144.0,65.3375848956,293.0,107.484882659,105.0,58.0172388174,56.0,55.2630075186,0.0,28.2842712474,0.0,28.2842712474
Homewood North,41,667.0,103.740059765,28.0,28.1780056073,5.0,21.1896201004,69.0,46.4758001545,88.0,40.5709255502,22.0,20.3224014328,129.0,55.9910707167,53.0,35.3553390594,134.0,63.5452594613,34.0,35.6370593624,16.0,20.4205778566,22.0,25.8843582111,22.0,24.5967477524,7.0,22.360679775,6.0,21.9317121994,17.0,25.5538646784,0.0,22.360679775,10.0,20.6881608656,5.0,21.9317121995,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Homewood South,42,364.0,70.6965345686,21.0,25.7875939165,40.0,34.0147027034,0.0,24.4948974278,8.0,22.1133443875,29.0,26.7955220139,26.0,24.7790233868,14.0,23.8746727726,37.0,32.14031736,10.0,22.6495033058,17.0,32.8024389337,20.0,23.7907545068,38.0,31.096623611,13.0,24.9198715887,18.0,25.8650343128,21.0,29.8328677803,19.0,21.5638586528,0.0,24.4948974278,6.0,24.1039415864,5.0,23.7486841741,22.0,31.2729915422,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Homewood West,43,207.0,62.6498204307,6.0,14.1421356237,0.0,14.1421356237,33.0,31.064449134,5.0,12.8062484749,24.0,31.6227766017,40.0,46.0977222865,0.0,14.1421356237,11.0,16.4012194669,27.0,20.5182845287,0.0,14.1421356237,11.0,15.6204993518,19.0,33.5261092285,5.0,13.4536240471,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,15.0,20.591260282,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Knoxville,44,738.0,152.026313512,33.0,35.5668384875,23.0,28.0891438104,42.0,44.1474801092,42.0,38.535697736,22.0,35.0570962858,37.0,40.9878030638,41.0,50.6063237155,172.0,84.0951841665,152.0,76.5571681817,41.0,55.1089829338,61.0,42.6731765867,13.0,32.0780298647,0.0,24.4948974278,42.0,47.0000000001,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,17.0,28.3725219182,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278
Larimer,45,213.0,50.9018663705,6.0,19.519221296,19.0,24.269322199,44.0,32.8785644456,6.0,19.5192212959,25.0,20.3469899493,21.0,19.7484176581,8.0,16.5529453572,26.0,21.2837966538,23.0,18.4932420089,12.0,18.574175621,0.0,20.0,20.0,28.7228132327,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,1.0,18.0277563773,2.0,18.0277563773,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
Lincoln Place,46,1251.0,138.068823418,0.0,22.360679775,9.0,24.4131112314,0.0,22.360679775,32.0,38.9871773792,0.0,22.360679775,21.0,27.4226184016,15.0,24.7588368063,96.0,47.1380949976,196.0,84.0,208.0,71.6240183179,154.0,57.2101389616,113.0,53.4322000295,67.0,48.8057373677,164.0,64.4282546714,76.0,47.7807492616,37.0,35.2278299076,28.0,48.3321838944,18.0,26.9072480942,17.0,25.7875939164,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Lincoln-Lemington-Belmar,47,896.0,123.17873193,18.0,25.7875939165,17.0,34.292856399,0.0,24.4948974278,23.0,29.0172362571,59.0,45.3541618819,37.0,29.8496231132,44.0,28.3372546306,230.0,65.6734345075,79.0,46.0977222865,111.0,44.3734154647,84.0,64.2961896227,74.0,44.6094160464,11.0,22.9782505862,36.0,38.6781592116,9.0,22.6495033058,13.0,25.1396101799,8.0,24.9198715887,14.0,25.7099202644,21.0,28.7054001888,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,8.0,25.3771550809
Lower Lawrenceville,48,444.0,97.6165969495,8.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,16.0,26.0,7.0,14.1421356237,28.0,27.8567765544,8.0,16.4012194669,23.0,18.7882942281,17.0,18.3575597507,34.0,26.1725046566,14.0,18.8679622641,28.0,20.591260282,7.0,14.8660687473,67.0,44.2944691807,37.0,44.9221548904,73.0,47.4341649025,18.0,20.2484567313,15.0,21.4709105536,30.0,27.8567765544,7.0,15.6204993518,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,0.0,14.1421356237
Manchester,49,496.0,101.872469294,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,9.0,16.4012194669,0.0,14.1421356237,12.0,21.4709105536,13.0,14.3178210633,33.0,35.4400902933,28.0,24.6981780705,43.0,30.61045573,81.0,47.6340214553,46.0,42.0594816896,53.0,34.9284983931,64.0,39.0512483795,41.0,27.5862284483,8.0,18.8679622641,18.0,20.2484567313,21.0,35.4400902933,8.0,16.4012194669,0.0,14.1421356237,5.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237
Marshall-Shadeland,50,1032.0,149.703039381,20.0,25.6124969497,14.0,24.020824299,40.0,34.7131099153,33.0,29.7657521322,8.0,23.8537208837,46.0,42.3556371691,134.0,87.3441469132,127.0,70.5549431295,90.0,47.8225888049,184.0,82.4196578492,106.0,49.1019347888,63.0,39.2810386828,30.0,33.7786915081,57.0,40.3236903073,52.0,50.6557005676,8.0,22.825424421,7.0,23.3238075794,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,7.0,22.825424421,6.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Middle Hill,51,247.0,66.7158152165,0.0,17.3205080757,5.0,15.779733838,7.0,17.3205080757,11.0,20.6155281281,0.0,17.3205080757,16.0,14.4568322948,6.0,16.2480768093,24.0,23.6854385647,15.0,21.748563171,38.0,23.6008474424,27.0,39.6106046407,15.0,18.2482875909,7.0,16.7630546142,48.0,36.9052841745,4.0,16.2480768093,13.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,5.0,15.779733838,6.0,17.9164728672,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
