Neighborhood	Sector #	Population (2010)	Total Pop, 25 and older (2010)	Edu. Attainment: Less than High School (2010)	Edu. Attainment: High School Graduate (2010)	Edu. Attainment: Assoc./Prof. Degree (2010)	Edu. Attainment: Bachelor's Degree (2010)	Edu. Attainment: Postgraduate Degree (2010)	1999 Median Income ('99 Dollars)	2009 Median Income ('09 Dollars)	1999 Median Income ('11 Dollars)	2009 Med. Income ('13 Dollars)	Est. Pop. for which Poverty Calc. (2010)	Est. Pop. Under Poverty (2010)	Est. Percent Under Poverty (2010)
Friendship	12	1,785	1,091	4.50%	28.20%	7.40%	30.50%	29.30%	$22,358	$22,107	$29,700	$24,097	1,596	334	20.90%
Garfield	12	3,675	2,424	19.00%	54.60%	10.50%	10.00%	5.90%	$20,298	$20,937	$26,964	$22,821	4,166	1,852	44.50%
Glen Hazel	9	716	558	41.00%	34.10%	15.60%	9.30%	0.00%	$9,315	$12,833	$12,374	$13,988	526	200	38.00%
Greenfield	9	7,294	5,823	7.10%	42.80%	10.50%	22.30%	17.30%	$35,613	$43,580	$47,308	$47,502	7,860	725	9.20%
Hays	8	362	335	56.70%	26.60%	10.10%	6.60%	0.00%	$23,125	$29,833	$30,719	$32,518	545	161	29.50%
Hazelwood	9	4,317	2,870	16.20%	61.10%	6.90%	8.40%	7.40%	$24,613	$31,067	$32,695	$33,863	4,082	1,059	25.90%
Highland Park	12	6,395	5,041	6.60%	25.50%	12.10%	23.90%	31.80%	$42,711	$61,455	$56,737	$66,985	6,782	621	9.20%
Homewood North	11	3,280	2,102	15.80%	68.80%	5.80%	8.80%	0.70%	$19,229	$21,158	$25,543	$23,062	3,570	1,988	55.70%
Homewood South	11	2,344	1,537	23.10%	58.40%	7.40%	7.90%	3.20%	$16,724	$20,190	$22,216	$22,007	2,114	675	31.90%
Homewood West	11	818	608	26.80%	53.60%	11.00%	7.60%	1.00%	$20,658	$14,423	$27,442	$15,721	918	338	36.80%
Knoxville	6	3,747	2,379	22.10%	60.20%	3.20%	11.10%	3.30%	$26,488	$27,893	$35,187	$30,403	3,947	1,130	28.60%
Larimer	12	1,728	1,205	17.10%	63.80%	10.70%	6.30%	2.10%	$18,478	$26,665	$24,546	$29,064	1,544	333	21.60%
Lincoln Place	8	3,227	2,554	10.30%	66.30%	8.40%	11.40%	3.50%	$38,889	$41,188	$51,660	$44,895	3,584	129	3.60%
Lincoln-Lemington-Belmar	11	4,883	2,897	15.40%	59.60%	12.80%	8.50%	3.60%	$23,403	$29,564	$31,089	$32,225	4,896	1,490	30.40%
Lower Lawrenceville	13	2,341	1,908	17.10%	48.30%	7.70%	17.30%	9.60%	$20,547	$22,311	$27,295	$24,319	2,606	1,008	38.70%
Manchester	3	2,130	1,315	12.90%	61.80%	12.20%	6.90%	6.10%	$24,055	$32,418	$31,955	$35,336	2,068	391	18.90%
Marshall-Shadeland	2	6,043	3,401	24.70%	57.50%	6.10%	8.20%	3.50%	$29,021	$32,608	$38,552	$35,543	4,478	1,265	28.20%
Middle Hill	15	1,707	1,252	9.90%	69.50%	7.90%	6.70%	6.00%	$21,633	$22,957	$28,737	$25,023	1,623	429	26.40%
Morningside	12	3,346	2,772	15.00%	42.90%	12.40%	21.50%	8.10%	$35,980	$41,490	$47,796	$45,224	3,682	193	5.20%
Mount Washington	6	8,799	6,936	10.90%	52.10%	10.30%	16.80%	9.70%	$28,295	$43,321	$37,587	$47,219	9,516	1,926	20.20%
Mt. Oliver	7	509	355	22.50%	68.70%	2.80%	0.00%	5.90%	$31,832	$38,505	$42,285	$41,970	552	201	36.40%
New Homestead	8	990	923	10.10%	63.10%	10.90%	13.00%	2.90%	$42,019	$83,167	$55,818	$90,652	1,360	115	8.50%
North Oakland	14	10,551	3,050	4.30%	23.10%	15.30%	27.40%	29.90%	$41,532	$50,004	$55,171	$54,504	5,077	1,989	39.20%
North Shore	16	303	196	5.60%	36.20%	24.00%	5.60%	28.60%	$70,125	$82,650	$93,154	$90,089	229	0	0.00%
Northview Heights	1	1,214	578	24.90%	64.50%	10.60%	0.00%	0.00%	$9,256	$12,933	$12,296	$14,097	1,436	834	58.10%
Oakwood	4	1,027	764	16.10%	54.30%	11.10%	6.30%	12.20%	$29,716	$34,345	$39,475	$37,436	1,106	137	12.40%
Overbrook	5	3,644	2,745	6.60%	65.80%	13.60%	11.20%	2.90%	$37,981	$42,244	$50,454	$46,046	3,815	445	11.70%
Perry North	2	4,050	3,073	11.40%	54.30%	11.30%	16.70%	6.20%	$42,705	$46,250	$56,729	$50,412	4,273	621	14.50%
Perry South	2	4,145	2,620	15.40%	63.50%	5.30%	12.40%	3.30%	$25,910	$29,797	$34,419	$32,478	3,828	1,418	37.00%
Point Breeze	10	5,315	4,322	5.00%	23.20%	13.40%	25.90%	32.50%	$71,548	$87,802	$95,044	$95,704	5,801	264	4.60%
Point Breeze North	11	2,054	1,288	6.80%	35.00%	8.50%	28.30%	21.40%	$35,417	$35,041	$47,048	$38,195	1,652	331	20.00%
Polish Hill	13	1,274	1,210	15.90%	45.50%	16.00%	18.30%	4.40%	$19,353	$30,972	$25,709	$33,759	1,393	103	7.40%
Regent Square	10	928	909	4.00%	24.10%	6.90%	21.00%	44.00%	$54,450	$77,647	$72,331	$84,635	1,098	12	1.10%
Ridgemont	4	483	444	9.70%	67.30%	5.20%	15.30%	2.50%	$32,292	$56,250	$42,897	$61,313	465	39	8.40%
Shadyside	12	13,915	10,234	4.20%	15.70%	18.00%	32.30%	29.80%	$35,709	$45,315	$47,435	$49,393	13,757	2,656	19.30%
Sheraden	4	5,299	3,624	18.90%	59.30%	11.30%	6.70%	3.80%	$34,502	$31,064	$45,832	$33,860	5,558	1,481	26.60%
South Oakland	14	2,969	1,423	12.40%	48.80%	13.70%	13.80%	11.20%	$24,190	$26,327	$32,134	$28,696	2,618	988	37.70%
South Shore	16	19	21	0.00%	52.40%	0.00%	0.00%	47.60%	$12,188	$150,250	$16,191	$163,773	38	0	0.00%
South Side Flats	7	6,597	4,973	9.70%	38.30%	10.90%	27.60%	13.60%	$24,700	$40,565	$32,812	$44,215	6,741	1,385	20.50%
South Side Slopes	7	4,423	3,394	20.10%	43.00%	7.10%	21.60%	8.20%	$30,380	$37,944	$40,356	$41,359	4,709	931	19.80%
Spring Garden	1	884	1,085	23.70%	66.80%	2.40%	5.60%	1.50%	$30,050	$38,418	$39,918	$41,876	1,366	189	13.80%
Spring Hill-City View	1	2,648	1,900	19.30%	58.70%	7.30%	9.90%	4.80%	$20,926	$21,875	$27,798	$23,844	2,576	869	33.70%
Squirrel Hill North	10	11,363	6,207	1.80%	14.10%	17.40%	26.70%	40.10%	$64,740	$83,861	$86,001	$91,409	9,009	797	8.80%
Squirrel Hill South	10	15,110	11,137	4.80%	21.30%	14.60%	27.40%	32.00%	$40,327	$54,473	$53,570	$59,376	14,692	1,721	11.70%
St. Clair	7	209	477	18.90%	69.20%	7.30%	4.60%	0.00%	$15,395	$28,304	$20,451	$30,851	1,064	467	43.90%
Stanton Heights	13	4,601	3,440	10.00%	46.50%	8.10%	21.90%	13.50%	$44,054	$48,949	$58,521	$53,354	4,612	196	4.20%
Strip District	13	616	443	8.40%	27.30%	12.40%	33.40%	18.50%	$41,719	$64,868	$55,420	$70,706	469	10	2.10%
Summer Hill	1	1,051	945	3.80%	70.10%	11.30%	13.90%	1.00%	$39,018	$39,034	$51,832	$42,547	1,213	96	7.90%
Swisshelm Park	10	1,361	1,110	8.60%	38.60%	14.90%	26.20%	11.80%	$53,456	$72,500	$71,011	$79,025	1,404	30	2.10%
Terrace Village	15	3,228	1,368	26.10%	53.10%	8.80%	4.00%	7.90%	$7,230	$10,857	$9,604	$11,834	2,293	1,060	46.20%
Troy Hill	1	2,714	1,944	12.00%	59.20%	10.70%	12.70%	5.50%	$28,137	$37,057	$37,377	$40,392	2,619	584	22.30%
Upper Hill	15	2,057	1,299	10.20%	55.40%	10.80%	12.70%	11.00%	$28,274	$32,000	$37,559	$34,880	1,799	421	23.40%
Upper Lawrenceville	13	2,669	1,875	16.20%	65.70%	7.00%	9.40%	1.70%	$24,883	$31,779	$33,055	$34,639	2,814	722	25.70%
West End	4	254	86	12.80%	36.00%	24.40%	26.70%	0.00%	$21,382	$41,250	$28,404	$44,963	116	0	0.00%
West Oakland	14	2,604	1,036	12.00%	46.70%	4.10%	20.10%	17.20%	$23,517	$20,962	$31,240	$22,849	1,626	758	46.60%
Westwood	4	3,066	2,408	10.70%	51.40%	10.00%	13.20%	14.70%	$36,820	$49,877	$48,912	$54,366	3,220	186	5.80%
Windgap	4	1,369	979	10.10%	67.10%	12.70%	6.30%	3.80%	$31,601	$40,982	$41,979	$44,670	1,333	72	5.40%
